Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
WZ-111 model 1-4 FL,,,VIII,WZ-111 6,,2097,360,10.30s,227,1050,0.40,2.60s,0.12 / 0.20 / 0.20,-8° / +23°,40 / 15,30°/s,620,13.57,45.7t,1450,390
10TP,,,VIII,WZ-111 6,,1000,75,4.50s,63,782,0.38,2.10s,0.12 / 0.20 / 0.20,-12° / +20°,50 / 20,45°/s,220,17.77,12.4t,410,310
VK 28.01,,,III,VK 28.01 105,,2333,350,9.00s,64,470,0.55,2.30s,0.16 / 0.14 / 0.14,-10° / +20°,64 / 22,46°/s,700,26.30,26.6t,680,380
Chrysler K,,,VI,Chrysler GF,,1901,320,10.10s,198,945,0.36,1.90s,0.10 / 0.20 / 0.20,-6° / +15°,35 / 14,32°/s,1200,20.10,59.7t,1500,380
Challenger,,,VIII,Challenger,,2154,280,7.80s,220,878,0.35,2.00s,0.08 / 0.22 / 0.24,-10° / +20°,52 / 20,34°/s,700,20.96,33.4t,950,370
Rinoceronte,,,VII,Rinoceronte,,1873,490,15.70s,268,1452,0.33,2.00s,0.14 / 0.30 / 0.30,-10° / +15°,40 / 15,28°/s,700,15.76,44.4t,2000,390
Kpz. Erich Konzept I,No data
T-115,,,V,T-115,,2063,110,3.20s,125,780,0.38,2.00s,0.12 / 0.22 / 0.22,-8° / +17°,48 / 17,36°/s,550,16.79,32.8t,720,340
Kolohousenka,,,VIII,O-Ho,,1903,460,14.50s,230,910,0.38,2.70s,0.12 / 0.20 / 0.20,-10° / +20°,25 / 10,22°/s,1300,10.60,122.7t,1850,380
Brennos,,,VIII,Brennos,,1778,320,10.80s,234,1080,0.37,1.80s,0.08 / 0.12 / 0.12,-10° / +20°,40 / 18,42°/s,1170,18.08,64.7t,1500,380
ISU-130,,,VIII,ISU-130,,2854,490,10.30s,238,960,0.37,2.10s,0.06 / 0.12 / 0.12,-8° / +14.3°,38 / 14,28°/s,600,12.84,46.7t,1000,380
Pz.Kpfw. IV Schmalturm,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
AMX M4 mle. 49,,,X,AMX M4 54,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
Strv 74,,,X,AMX M4 54,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
Super Conqueror,,,X,S. Conqueror,,2500,400,9.60s,259,1067,0.33,2.00s,0.10 / 0.12 / 0.12,-10° / +15°,34.3 / 12,26°/s,1120,14.60,76.7t,2300,400
AMX 50 Foch (155),,,X,Foch B,,3000,400,38.00s,257,1067,0.34,2.30s,0.10 / 0.13 / 0.13,-6° / +18°,50 / 15,30°/s,1150,20.58,55.9t,1850,380
P.43,,,X,P.43 ter,,1946,240,7.40s,165,758,0.40,2.40s,0.12 / 0.18 / 0.18,-7° / +20°,55 / 20,44°/s,700,19.58,35.8t,1200,380
G.Pz. Mk. VI (e),,,VII,P.43 ter,,911,410,27.00s,27,380,0.84,6.50s,0.60 / 0.58 / 0.58,-3° / +42°,50 / 12,18°/s,88,13.97,6.3t,180,250
Sturer Emil,No data
T78,,,VI,T78,,1735,240,8.30s,160,853,0.38,2.00s,0.16 / 0.30 / 0.30,-10° / +20°,55 / 14,30°/s,550,22.08,24.9t,670,370
Chieftain Mk. 6,,,X,Chieftain,,2909,400,8.25s,270,1372,0.32,1.50s,0.10 / 0.12 / 0.12,-10° / +20°,42 / 15,40°/s,750,13.71,54.7t,2200,390
Object 140,,,X,Obj. 140,,3238,340,6.30s,264,1535,0.35,1.90s,0.10 / 0.08 / 0.08,-7° / +17°,55 / 20,54°/s,700,19.61,35.7t,1950,400
STK-2,,,X,Obj. 140,,2907,470,9.70s,265,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-8° / +15°,40 / 16,30°/s,1150,17.50,65.7t,2350,400
BT-42 Jatkosota HS,,,VIII,T42,,1846,280,9.10s,190,814,0.33,2.00s,0.10 / 0.20 / 0.20,-10° / +20°,51.5 / 20,42°/s,500,14.92,33.5t,1350,400
113 Beijing Opera,,,X,113,,2640,440,10.00s,249,950,0.37,2.80s,0.08 / 0.18 / 0.18,-7° / +18°,50 / 15,36°/s,750,16.78,44.7t,2300,400
50TP prototyp,,,VIII,T28 Prototype,,2449,400,9.80s,248,945,0.38,2.10s,0.12 / 0.20 / 0.20,-10° / +15°,32 / 12,24°/s,830,12.56,66.1t,1400,380
Lätt Stridsfordon 120,No data
Type 95 Ji-Ro,,,IV,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
ISU-122S,,,IV,Type 95,,3162,390,7.40s,175,800,0.41,2.90s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 12,27°/s,600,13.18,45.5t,870,350
AMX 13 57,,,VII,AMX 13 105,,2163,390,27.00s,234,1000,0.42,2.30s,0.12 / 0.15 / 0.15,-8° / +12°,68 / 22,40°/s,600,38.22,15.7t,1600,390
Hurricane,,,X,AMX 13 105,,2753,390,8.50s,258,1241,0.36,2.30s,0.06 / 0.12 / 0.12,-8° / +20°,55 / 15,48°/s,740,18.25,40.6t,2000,400
SDT-58 Vlkodav,,,X,Vlkodav,,2388,390,9.80s,245,920,0.38,2.20s,0.10 / 0.18 / 0.18,-8° / +20°,50 / 16,45°/s,950,19.11,49.7t,1700,380
T 55A,,,IX,Vlkodav,,2494,320,7.70s,221,1070,0.33,2.00s,0.10 / 0.12 / 0.12,-5° / +14.25°,50 / 20,50°/s,750,20.16,37.2t,1750,395
SARL 42,,,IX,T 55A,,1440,240,10.00s,212,1000,0.38,3.40s,0.20 / 0.24 / 0.24,-10° / +15°,37 / 10,29°/s,830,17.69,46.9t,1000,350
DS PZInż,,,VI,DS PZInż,,1397,135,5.80s,135,925,0.39,2.10s,0.12 / 0.25 / 0.25,-8° / +15°,56 / 15,39°/s,585,18.76,31.2t,650,340
T-34-1,,,V,DS PZInż,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
Jagdpanzer E 100,,,X,E 100,,2250,750,20.00s,246,757,0.40,2.70s,0.10 / 0.21 / 0.21,-7° / +20°,30 / 15,22°/s,1200,9.26,129.6t,2700,400
TL-1 LPC,,,X,E 100,,1909,280,8.80s,208,914,0.38,2.30s,0.10 / 0.14 / 0.14,-9° / +19°,50 / 20,46°/s,665,18.15,36.6t,1400,400
Cavalier,,,V,Cavalier,,2143,75,2.10s,110,892,0.36,1.70s,0.10 / 0.24 / 0.24,-12° / +20°,46 / 18,33°/s,475,18.52,25.6t,700,350
Type 95 Ha-Go,,,V,Type 5 H,,2246,700,18.70s,257,850,0.40,2.70s,0.14 / 0.16 / 0.16,-10° / +20°,25 / 15,20°/s,1370,9.08,150.8t,2900,400
Primo Victoria,,,VIII,P:Victoria,,2091,230,6.60s,226,1300,0.33,2.30s,0.12 / 0.14 / 0.14,-10° / +18°,50 / 20,36°/s,950,18.81,50.5t,1450,400
T-44 FL,,,VIII,T-44,,1800,390,13.00s,175,800,0.40,3.00s,0.14 / 0.12 / 0.12,-5° / +23°,56 / 23,56°/s,730,21.55,33.9t,1450,380
121B,,,VIII,121B,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
105 leFH18B2,,,X,leFH18B2,,2645,410,9.30s,53,410,0.73,5.10s,0.32 / 0.24 / 0.24,-4° / +45°,28 / 10,22°/s,307,9.52,32.2t,340,390
Panhard EBR 75 (FL 10),,,V,EBR 75 FL 10,,1909,175,9.50s,180,1300,0.38,1.20s,0.04 / 0.08 / 0.08,-8° / +12°,60 / 60,34°/s,525,35.65,14.7t,950,310
Strv 81,,,VIII,Strv S1,,2294,390,10.20s,288,1450,0.40,3.00s,0.10 / 0.40 / 0.10,-1° / +1°,50 / 45,26°/s,540,16.50,32.7t,1000,350
SZDV Vz. 50,,,VIII,Strv S1,,2786,390,8.40s,252,1120,0.27,2.00s,0.08 / 0.15 / 0.15,-8° / +20°,42 / 14,35°/s,940,15.74,59.7t,1350,370
M44,,,VIII,SZDV Vz. 50,,1875,300,9.60s,175,850,0.41,2.70s,0.10 / 0.18 / 0.18,-10° / +12°,35 / 12,38°/s,930,17.02,54.6t,1450,360
Ikv 103,,,VII,Ikv 103,,1622,300,11.10s,120,600,0.42,2.10s,0.14 / 0.22 / 0.22,-12° / +20°,60 / 20,32°/s,180,21.05,8.6t,500,340
T-34-2G FT,,,VII,T-34-2G FT,,2463,390,9.50s,192,800,0.40,3.00s,0.10 / 0.20 / 0.20,-5° / +15°,50 / 16,40°/s,520,16.39,31.7t,900,360
Kanonenjagdpanzer,No data
T71 CMCD,,,VII,T71 CMCD P,,2093,150,4.30s,175,1219,0.38,1.90s,0.08 / 0.12 / 0.12,-10° / +20°,64 / 25,65°/s,600,35.95,16.7t,840,400
M2,,,VII,T71 CMCD P,,2283,175,4.60s,38,620,0.55,2.30s,0.16 / 0.23 / 0.23,-20° / +40°,43 / 18,40°/s,400,19.31,20.7t,375,370
T-54 first prototype FL,,,III,T-54,,2783,320,6.90s,236,1120,0.35,2.10s,0.12 / 0.11 / 0.11,-6° / +20°,56 / 20,56°/s,750,21.63,34.7t,1800,390
Pz.Kpfw. II Ausf. G,,,IX,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
T32 FL,,,X,T32,,2133,320,9.00s,218,945,0.38,1.90s,0.10 / 0.16 / 0.16,-10° / +20°,35 / 14,29°/s,865,15.11,57.2t,1650,390
Char Murat,,,VIII,Char Murat,,1755,390,35.00s,248,1280,0.35,2.70s,0.08 / 0.23 / 0.23,-12° / +15°,60 / 20,45°/s,850,19.02,44.7t,1650,390
Vz. 55 Gothic Warrior,,,X,Vz. 55,,2650,530,12.00s,260,980,0.35,2.00s,0.08 / 0.16 / 0.16,-8° / +15°,50 / 15,30°/s,850,15.57,54.6t,2100,390
Lion,,,X,Vz. 55,,3150,420,8.00s,258,1080,0.33,2.70s,0.12 / 0.20 / 0.20,-9° / +20°,60 / 15,45°/s,830,19.44,42.7t,1850,400
SU-130PM,,,X,ISU-130,,2854,490,10.30s,238,960,0.37,2.10s,0.06 / 0.12 / 0.12,-8° / +14.3°,38 / 14,28°/s,600,12.84,46.7t,1000,380
112,,,VIII,112,,1857,390,12.60s,196,800,0.44,3.00s,0.12 / 0.23 / 0.23,-6° / +17°,45 / 15,26°/s,580,12.68,45.7t,1500,380
T-28,,,VIII,112,,2637,400,9.10s,248,945,0.38,2.10s,0.08 / 0.19 / 0.19,-5° / +20°,22 / 10,24°/s,780,13.07,59.7t,1600,360
TNH T Vz. 51,,,VIII,Vz. 55,,2650,530,12.00s,260,980,0.35,2.00s,0.08 / 0.16 / 0.16,-8° / +15°,50 / 15,30°/s,850,15.57,54.6t,2100,390
UDES 03 Alt 3,,,VIII,UDES 03,,2340,390,10.00s,288,1385,0.35,3.00s,0.20 / 0.40 / 0.10,-1° / +20°,70 / 50,40°/s,500,24.29,20.6t,1200,350
FCM 36 Pak 40,,,VIII,FCM36Pak40,,1751,110,3.77s,98,790,0.37,1.50s,0.10 / 0.25 / 0.25,-8° / +17°,24 / 10,37°/s,91,6.67,13.6t,320,400
T-22 medium,,,III,FCM36Pak40,,2560,320,7.50s,264,1535,0.38,2.10s,0.12 / 0.12 / 0.12,-5° / +16°,55 / 20,40°/s,750,21.01,35.7t,1900,400
AMR P.103,,,X,AMR P.103,,953,27,1.70s,46,950,0.38,1.80s,0.10 / 0.20 / 0.20,-12° / +15°,45 / 20,35°/s,95,17.92,5.3t,350,320
Strv 103-0,,,II,Strv 103B,,3343,390,7.00s,308,1500,0.30,3.00s,0.00 / 0.40 / 0.10,-1° / +1°,50 / 45,35°/s,900,22.50,40t,1800,360
VK 45.03,,,X,VK 45.03,,1714,240,8.40s,203,1000,0.33,2.20s,0.10 / 0.18 / 0.18,-8° / +15°,38 / 12,28°/s,700,10.82,64.7t,1400,380
Object 265T,,,VII,Obj. 268,,2727,750,16.50s,303,950,0.33,2.50s,0.08 / 0.18 / 0.18,-6° / +15°,48 / 15,33°/s,950,18.75,50.7t,1950,370
AMX M4 mle. 54,,,X,Obj. 268,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
SU-2-122,,,X,AMX M4 54,,2250,450,12.00s,61,515,0.48,3.00s,0.08 / 0.20 / 0.20,-6° / +15°,45 / 14,35°/s,500,14.60,34.3t,480,280
Vz. 58 Medvěd,,,V,SU-2-122,,2650,530,12.00s,260,980,0.35,2.00s,0.08 / 0.16 / 0.16,-8° / +15°,50 / 15,30°/s,850,15.57,54.6t,2100,390
WT auf E 100 Phönix,,,X,Phönix,,2545,560,58.00s,276,1200,0.29,1.50s,0.25 / 0.20 / 0.20,-5° / +15°,40 / 15,26°/s,1200,12.04,99.7t,2000,380
Type 59,,,X,Phönix,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
M15/42,,,IV,Type 95,,1071,50,2.80s,70,830,0.38,1.80s,0.10 / 0.22 / 0.22,-10° / +20°,40 / 15,42°/s,250,16.23,15.4t,470,320
Strv 103-0 FL,,,X,Strv 103B,,3343,390,7.00s,308,1500,0.30,3.00s,0.00 / 0.40 / 0.10,-1° / +1°,50 / 45,35°/s,900,22.50,40t,1800,360
Type 1 Chi-He,,,X,Type 71,,2727,400,8.80s,260,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-7° / +20°,40 / 16,30°/s,1050,17.59,59.7t,2200,400
Kirovets-1,,,X,Kirovets-1,,1800,390,13.00s,221,1400,0.45,3.10s,0.14 / 0.24 / 0.24,-5° / +18°,42 / 20,26°/s,720,15.25,47.2t,1550,360
Caliban,,,VIII,Caliban,,2040,850,25.00s,180,354,0.58,4.10s,0.20 / 0.38 / 0.38,-10° / +12°,33 / 12,30°/s,750,18.58,40.4t,1500,370
UDES 15/16,,,VIII,Caliban,,2809,440,9.40s,254,1000,0.35,2.20s,0.08 / 0.14 / 0.10,-6° / +20°,50 / 24,50°/s,610,19.24,31.7t,1950,390
Sherman Firefly,,,X,Firefly,,1915,150,4.70s,171,884,0.38,2.10s,0.12 / 0.21 / 0.21,-6° / +20°,36 / 18,40°/s,460,13.93,33t,840,370
leKpz M 41 90 mm,,,VI,M 41 90 mm,,2182,240,6.60s,182,830,0.38,1.80s,0.08 / 0.14 / 0.14,-8° / +17°,72.4 / 24,54°/s,500,21.51,23.3t,1100,400
Panhard AMD 178B,,,VIII,AMD 178B,,1571,110,4.20s,120,790,0.40,1.70s,0.14 / 0.12 / 0.12,-12° / +14°,65 / 65,34°/s,315,34.05,9.3t,700,300
SDP 40 Zadymka,,,VI,Zadymka,,1800,240,8.00s,150,950,0.38,2.20s,0.10 / 0.22 / 0.22,-7° / +15°,50 / 14,35°/s,460,15.46,29.8t,500,280
Object 752,,,V,Zadymka,,2000,490,14.70s,250,900,0.44,3.00s,0.10 / 0.18 / 0.18,-5° / +20°,40 / 15,24°/s,900,13.91,64.7t,2100,380
Concept No. 5,,,IX,Obj. 705,,2359,460,11.70s,260,1230,0.27,1.80s,0.06 / 0.10 / 0.10,-8° / +16°,65 / 32,40°/s,580,25.55,22.7t,1900,400
Type 5 Heavy,,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
CS-67 Szakal,,,X,Szakal,,2930,420,8.60s,275,1341,0.34,2.10s,0.07 / 0.10 / 0.10,-8° / +20°,55 / 17,46°/s,850,19.02,44.7t,2200,400
Pz.Kpfw. IV hydrostat.,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
T-34 shielded,,,X,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
Cromwell B,,,V,Cromwell,,2077,135,3.90s,145,785,0.36,2.30s,0.14 / 0.24 / 0.24,-13° / +20°,64 / 20,36°/s,700,25.29,27.7t,950,360
FV227 Conceiver,,,XI,Contriver,,2640,440,10.00s,265,1050,0.33,2.00s,0.11 / 0.15 / 0.15,-10° / +20°,34 / 12,20°/s,1330,13.34,99.7t,2400,390
Stridsyxa,,,XI,Contriver,,2100,350,10.00s,219,980,0.37,2.30s,0.10 / 0.14 / 0.14,-10° / +20°,50 / 18,45°/s,500,16.82,29.7t,1300,390
Fantôme,,,VIII,Fantôme,,1899,360,35.00s,260,1420,0.40,3.00s,0.10 / 0.22 / 0.22,-8° / +20°,50 / 17,34°/s,1000,20.96,47.7t,1700,380
Object 430,,,IX,Obj. 430 II,,2783,320,6.90s,246,1015,0.34,2.00s,0.12 / 0.12 / 0.12,-4° / +16°,55 / 20,52°/s,610,16.87,36.2t,1800,400
Kanonenjagdpanzer 105,,,IX,EBR 105,,1950,390,12.00s,190,1300,0.38,1.40s,0.05 / 0.09 / 0.09,-7° / +15°,70 / 50,34°/s,720,43.11,16.7t,1400,340
M47 Iron Arnie,,,X,Iron Arnie,,1699,320,11.30s,230,1080,0.44,3.00s,0.08 / 0.12 / 0.12,-10° / +20°,40 / 15,32°/s,800,17.06,46.9t,1300,390
Tortoise,,,VIII,Tortoise,,3380,400,7.10s,259,1067,0.31,1.70s,0.06 / 0.26 / 0.26,-10° / +20°,20 / 10,22°/s,810,10.58,76.6t,1850,390
Ferdinand,,,IX,Ferdinand,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.20 / 0.20,-8° / +14°,30 / 10,33°/s,900,13.54,66.5t,1600,370
M4A3(76)W Sherman,,,VIII,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
Panhard EBR 105,,,V,EBR 105,,1950,390,12.00s,190,1300,0.38,1.40s,0.05 / 0.09 / 0.09,-7° / +15°,70 / 50,34°/s,720,43.11,16.7t,1400,340
Chi-Se,,,VIII,Chi-Se,,2200,330,9.00s,220,1000,0.37,2.20s,0.08 / 0.13 / 0.13,-13° / +20°,40 / 14,36°/s,940,17.18,54.7t,1550,390
Prototipo Standard B,,,VIII,Prototipo 6,,2000,300,9.00s,226,1030,0.32,2.50s,0.14 / 0.18 / 0.18,-9° / +20°,50 / 18,42°/s,600,20.19,29.7t,1300,380
Pz.Sfl. IVc,,,VIII,Pz.Sfl. IVc,,1920,240,7.50s,194,1000,0.32,2.10s,0.14 / 0.24 / 0.24,-5° / +90°,60 / 20,48°/s,400,15.53,25.8t,460,340
M6,,,V,Pz.Sfl. IVc,,2659,390,8.80s,268,1478,0.33,1.60s,0.08 / 0.10 / 0.10,-9° / +19°,60 / 23,52°/s,950,20.67,46t,2000,420
Staghound Mk. III,,,X,Staghound,,2273,125,3.30s,162,815,0.34,2.00s,0.10 / 0.14 / 0.14,-7° / +20°,60 / 30,30°/s,320,24.79,12.9t,900,360
O-Ho,,,VI,Staghound,,1903,460,14.50s,230,910,0.38,2.70s,0.12 / 0.20 / 0.20,-10° / +20°,25 / 10,22°/s,1300,10.60,122.7t,1850,380
Object 274a,,,VIII,O-Ho,,2352,490,12.50s,265,1030,0.38,2.70s,0.08 / 0.16 / 0.16,-5.5° / +15.5°,55 / 15,32°/s,950,17.37,54.7t,2200,400
D2,,,X,Obj. 277,,1269,55,2.60s,66,885,0.39,2.30s,0.16 / 0.28 / 0.28,-10° / +20°,23 / 12,38°/s,180,9.33,19.3t,410,320
Object 780,,,III,Obj. 780,,2271,530,14.00s,267,1130,0.35,1.90s,0.08 / 0.17 / 0.17,-7° / +15°,45 / 15,34°/s,870,17.58,49.5t,2200,410
KV-2 (R),,,X,KV-2 (R),,1750,700,24.00s,110,525,0.60,3.80s,0.15 / 0.26 / 0.26,-7° / +12°,35 / 11,24°/s,640,12.13,52.8t,960,330
AMBT,,,VI,KV-2 (R),,1800,360,12.00s,215,1278,0.38,2.70s,0.16 / 0.20 / 0.20,-9° / +10°,40 / 14,32°/s,650,18.19,35.7t,1300,380
Lorraine 39L AM,No data
Leichter Kpz. 70 (K),,,VIII,LKpz 70 (K),,1694,240,8.50s,190,1000,0.33,2.10s,0.10 / 0.12 / 0.12,-10° / +20°,60 / 20,50°/s,700,28.31,24.7t,1150,380
T-80,,,XI,T803,,2733,410,9.00s,262,1100,0.35,2.00s,0.06 / 0.14 / 0.14,-10° / +20°,37 / 12,30°/s,1030,17.25,59.7t,2350,400
T42,,,XI,T42,,1846,280,9.10s,190,814,0.33,2.00s,0.10 / 0.20 / 0.20,-10° / +20°,51.5 / 20,42°/s,500,14.92,33.5t,1350,400
Churchill VII,,,VIII,T42,,2045,75,2.20s,110,892,0.37,1.70s,0.08 / 0.18 / 0.18,-9° / +20°,25.7 / 14,28°/s,380,9.59,39.6t,920,350
Object 283,,,V,Churchill I,,2727,750,16.50s,303,950,0.33,2.50s,0.08 / 0.18 / 0.18,-6° / +15°,48 / 15,33°/s,950,18.75,50.7t,1950,370
Pz.Kpfw. IV Ausf. A,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Black Rock,,,X,Black Rock,,2400,420,10.50s,278,1100,0.34,2.10s,0.10 / 0.17 / 0.17,-8° / +20°,43 / 14,33°/s,950,17.37,54.7t,2400,400
Cromwell Applique,,,XI,Cromwell,,2077,135,3.90s,145,785,0.36,2.30s,0.14 / 0.24 / 0.24,-13° / +20°,64 / 20,36°/s,700,25.29,27.7t,950,360
Type 89 I-Go/Chi-Ro,,,VI,Type 68,,2400,400,10.00s,250,1050,0.24,2.20s,0.10 / 0.16 / 0.16,-8° / +20°,35 / 14,30°/s,1000,17.04,58.7t,1950,390
Chaffee Camouflaged,,,IX,Chaffee,,1683,115,4.10s,118,890,0.39,1.60s,0.08 / 0.13 / 0.13,-10° / +15°,65 / 21,42°/s,500,27.56,18.1t,610,360
T18 HMC,,,V,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
E 50 FL,,,V,E 50 M,,2543,390,9.20s,270,1500,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1300,20.96,62t,2050,400
113,,,X,E 50 M,,2727,750,16.50s,290,960,0.36,2.50s,0.06 / 0.19 / 0.19,-6° / +15°,40 / 16,30°/s,830,15.17,54.7t,2100,390
Rheinmetall Begleitwagen,No data
Object Kust,,,VIII,Kust,,1854,550,17.80s,279,1150,0.43,3.00s,0.10 / 0.40 / 0.40,-5° / +20°,50 / 20,30°/s,680,18.52,36.7t,1200,350
ASTRON Rex 105 mm,,,VIII,ASTRON Rex,,1920,320,34.00s,190,945,0.43,2.00s,0.10 / 0.18 / 0.13,-10° / +15°,52 / 30,60°/s,450,14.65,30.7t,1300,390
Sexton I,,,VIII,Sexton I,,1556,280,10.80s,44,410,0.76,5.50s,0.44 / 0.44 / 0.44,-9° / +40°,40.2 / 10,24°/s,390,15.20,25.7t,250,330
T-34-2,,,III,Sexton I,,2463,390,9.50s,192,800,0.40,3.00s,0.10 / 0.20 / 0.20,-5° / +15°,50 / 16,40°/s,520,16.39,31.7t,900,360
IMT,,,VII,T-34-2G FT,,1756,360,12.30s,210,1000,0.37,2.00s,0.10 / 0.18 / 0.18,-10° / +20°,50 / 20,40°/s,900,20.12,44.7t,1350,390
Jagdpanzer IV,No data
Jagdpanzer E 90,No data
Centurion Mk. 7/1,,,X,Centurion AX,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
Ashigaru,,,X,Ashigaru,,3441,390,6.80s,277,1250,0.23,1.40s,0.14 / 0.24 / 0.24,-10° / +16°,40 / 20,40°/s,600,24.29,24.7t,1800,380
Pz.Kpfw. IV Ausf. H,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
T34,,,X,Pz.Kpfw. VII,,2463,390,9.50s,192,800,0.40,3.00s,0.10 / 0.20 / 0.20,-5° / +15°,50 / 16,40°/s,520,16.39,31.7t,900,360
Char de transition,No data
Loza's M4-A2 Sherman,,,V,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
121,,,V,121B,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
Ho-Ri 1,,,X,Ho-Ri 3,,2745,700,15.30s,305,980,0.36,2.50s,0.10 / 0.14 / 0.14,-7° / +15°,35 / 15,36°/s,1000,15.31,65.3t,2000,380
Pz.Kpfw. V/IV,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Ares 85,,,X,Ares 85,,15047,80,6.00s,210,1000,0.36,2.10s,0.10 / 0.18 / 0.18,-7° / +45°,50 / 18,45°/s,900,19.69,45.7t,1800,390
FV4202,,,IX,Ares 85,,1840,230,7.50s,226,1020,0.33,2.30s,0.16 / 0.14 / 0.14,-10° / +20°,50 / 20,40°/s,650,15.73,41.3t,1400,400
Matilda IV,,,VIII,Matilda BP,,1957,75,2.30s,110,892,0.41,2.30s,0.08 / 0.18 / 0.18,-12.5° / +20°,22 / 10,35°/s,190,6.38,29.8t,800,350
Jade Coil,,,V,O-I,,1615,700,26.00s,121,500,0.58,3.70s,0.18 / 0.20 / 0.20,-10° / +20°,25 / 10,18°/s,1300,8.68,149.7t,1100,370
VK 30.01 (H),,,VII,VK 30.02 D,,2063,220,6.40s,145,773,0.38,2.30s,0.14 / 0.20 / 0.20,-8° / +20°,60 / 20,60°/s,870,22.06,39.4t,1350,380
M22 Locust,,,VII,M2,,1143,40,2.10s,55,782,0.46,2.00s,0.12 / 0.24 / 0.24,-10° / +20°,58 / 20,50°/s,285,33.63,8.5t,320,320
K-2,,,II,STK-2,,2907,470,9.70s,265,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-8° / +15°,40 / 16,30°/s,1150,17.50,65.7t,2350,400
T29,,,XI,STK-2,,1455,320,13.20s,198,945,0.42,2.50s,0.18 / 0.22 / 0.22,-10° / +15°,35 / 12,25°/s,850,13.24,64.2t,1300,370
IS-6,,,VII,IS-6,,2000,390,11.70s,196,790,0.44,2.80s,0.12 / 0.23 / 0.23,-6° / +20°,35 / 14,26°/s,700,13.67,51.2t,1550,350
